Date,Open,High,Low,Close,Volume,simple_return,log_return,ma_7,ma_14,ma_21,volatility_7,hl_diff,oc_diff,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_lower,BB_width,BB_percent,MA_3,MA_5,MA_10,MA_20,Close_MA5_ratio,Close_MA20_ratio,MA5_MA20_gap,daily_return,abs_return,high_low_ratio,open_close_ratio,pct_volatility_5,pct_volatility_10,Volume_MA5,Volume_MA20,Volume_change,Volume_ratio,log_trading_value,ATR_14,OBV,Stoch_K,Stoch_D,lag_1_return,lag_2_return,lag_3_return,MA3_return,target_next_return,target_next_close
2021-04-14,43600.0,43700.0,42950.0,43400.0,106207,,,,,,,750.0,200.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.01728110599078341,-0.0045871559633027525,,,,,,,22.25136001929423,750.0,,,,,,,,-0.024193548387096774,42350.0
2021-04-15,43350.0,43350.0,42200.0,42350.0,119704,-0.024193548387096753,-0.024491020008295755,,,,,1150.0,1000.0,0.0,-83.76068376067997,-16.752136752135993,-67.00854700854397,,,,,,,,,,,,-0.024193548387096753,0.024193548387096753,0.02715466351829988,-0.02306805074971165,,,,,0.1270820190759554,,22.346501008140716,782.1428571428571,-119704.0,,,,,,,-0.011806375442739079,41850.0
2021-04-16,42350.0,42450.0,41700.0,41850.0,102171,-0.011806375442739103,-0.011876624162579098,,,,,750.0,500.0,0.0,-188.31665327391966,-51.06504005649273,-137.25161321742692,,,,,42533.333333333336,,,,,,,-0.011806375442739103,0.011806375442739103,0.017921146953405017,-0.011806375442739079,,,,,-0.14646962507518546,,22.17625023529795,779.8469387755102,-221875.0,,,-0.024193548387096753,,,,0.015531660692951015,42500.0
2021-04-19,41850.0,42500.0,41300.0,42500.0,112097,0.015531660692950977,0.01541227899488678,,,,,1200.0,-650.0,4.713804713804706,-216.2358128267515,-84.09919461054449,-132.136618216207,,,,,42233.333333333336,,,,,,,0.015531660692950977,0.015531660692950977,0.02823529411764706,0.015531660692951015,,,,,0.09715085493926856,,22.284379202004754,809.8578717201166,-109778.0,,,-0.011806375442739103,-0.024193548387096753,,-0.006822754378961626,0.0,42500.0
2021-04-20,42200.0,42800.0,41850.0,42500.0,101887,0.0,0.0,,,,,950.0,-300.0,4.713804713804706,-235.6455724441912,-114.40847017727383,-121.23710226691738,,,,,42283.333333333336,42520.0,,,0.9995296331138288,,,0.0,0.0,0.02235294117647059,0.0071090047393364926,,,108413.2,,-0.09108183091429745,,22.188878990160788,819.8680237401084,-109778.0,,,0.015531660692950977,-0.011806375442739103,-0.024193548387096753,0.0012417617500706246,-0.03529411764705882,41000.0
2021-04-21,42400.0,42450.0,40600.0,41000.0,171708,-0.03529411764705881,-0.03593200922606333,,,,,1850.0,1400.0,4.185735728992725,-367.8253490966745,-165.09184596115398,-202.7335031355205,,,,,42000.0,42040.0,,,0.9752616555661275,,,-0.03529411764705881,0.03529411764705881,0.045121951219512194,-0.0330188679245283,0.019935752348985886,,121513.4,,0.6852787892469108,,22.674877984523224,897.0203077586721,-281486.0,,,0.0,0.015531660692950977,-0.011806375442739103,-0.006587485651369278,-0.01097560975609756,40550.0
2021-04-22,41000.0,41400.0,40450.0,40550.0,128600,-0.01097560975609757,-0.011036286142885886,42021.42857142857,,,,950.0,450.0,4.039532774643817,-503.090697196516,-232.6916162082264,-270.3990809882896,,,,,41350.0,41680.0,,,0.9728886756238004,,,-0.01097560975609757,0.01097560975609757,0.02342786683107275,-0.01097560975609756,0.018606153708903644,,123292.6,,-0.25105411512567843,,22.37475315052098,900.8045714901956,-410086.0,,,-0.03529411764705881,0.0,0.015531660692950977,-0.015423242467718793,0.006165228113440197,40800.0
2021-04-23,40500.0,41100.0,39500.0,40800.0,173431,0.006165228113440113,0.006146300848694004,41650.0,,,0.01771949253835163,1600.0,-300.0,6.003827680669573,-583.3915745146587,-302.8316078695129,-280.55996664514583,,,,,40783.333333333336,41470.0,,,0.9838437424644321,,,0.006165228113440113,0.006165228113440113,0.0392156862745098,0.007407407407407408,0.01952316823823523,,137544.6,,0.3486080870917574,,22.67997246527669,950.7471020980388,-236655.0,,,-0.01097560975609757,-0.03529411764705881,0.0,-0.013368166429905423,0.014705882352941176,41400.0
2021-04-26,41500.0,42050.0,40950.0,41400.0,183414,0.014705882352941124,0.014598799421152631,41514.28571428572,,,0.01811477911253489,1100.0,100.0,10.726964885938841,-591.7937823905231,-360.6240427737149,-231.16973961680822,,,,,40916.666666666664,41250.0,,,1.0036363636363637,,,0.014705882352941124,0.014705882352941124,0.026570048309178744,-0.0024096385542168677,0.0193092841336212,,151808.0,,0.05756179691058683,,22.75053733171403,972.122309091036,-53241.0,,,0.006165228113440113,-0.01097560975609757,-0.03529411764705881,0.0032985002367612224,-0.014492753623188406,40800.0
2021-04-27,41700.0,41700.0,40300.0,40800.0,91151,-0.01449275362318836,-0.014598799421152636,41364.28571428572,,,0.018358639706056643,1400.0,900.0,10.176290865144054,-639.4958679640404,-416.39840781178003,-223.09746015226034,,,,,41000.0,40910.0,41715.0,,0.9973111708628697,,,-0.01449275362318836,0.01449275362318836,0.03431372549019608,-0.02158273381294964,0.01944342679431692,,149660.8,,-0.5030313934596051,,22.036710111634818,1002.6850012988191,-144392.0,,,0.014705882352941124,0.006165228113440113,-0.01097560975609757,0.0021261189477309594,-0.031862745098039214,39500.0
2021-04-28,41000.0,41000.0,39200.0,39500.0,127337,-0.031862745098039214,-0.03238140950303983,40935.71428571428,,,0.018973478998942604,1800.0,1500.0,9.087736238185627,-773.2852983368648,-487.7757859167971,-285.5095124200677,,,,,40566.666666666664,40610.0,41325.0,,0.9726668308298448,,,-0.031862745098039214,0.031862745098039214,0.04556962025316456,-0.036585365853658534,0.0182629759675203,0.01813878670973956,140786.6,,0.39698961064607086,,22.338648345405556,1059.636072634618,-271729.0,,,-0.01449275362318836,0.014705882352941124,0.006165228113440113,-0.01054987212276215,0.020253164556962026,40300.0
2021-04-29,39450.0,40550.0,39100.0,40300.0,76271,0.020253164556962133,0.02005079704556122,40621.42857142857,,,0.02207534823690358,1450.0,-850.0,15.105971710159608,-805.4760452291084,-551.3158377792594,-254.16020744984905,,,,,40200.0,40560.0,41120.0,,0.9935897435897436,,,0.020253164556962133,0.020253164556962133,0.03598014888337469,0.021546261089987327,0.0217040605678424,0.019460068605095426,130320.8,,-0.4010303368227617,,21.84615481464751,1087.5192103035738,-195458.0,,,-0.031862745098039214,-0.01449275362318836,0.014705882352941124,-0.008700778054755146,-0.017369727047146403,39600.0
