Date,Open,High,Low,Close,Volume
2021-04-14,43140.15234,44550.30369,42565.6461,43140.15234,1268024
2021-04-15,43140.15272,43192.38123,42408.96463,42513.41797,274194
2021-04-16,42670.10172,42826.78356,41938.90998,42252.27734,286878
2021-04-19,42095.59961,42356.7385,41730.00371,42147.82813,349118
2021-04-20,42252.2791,42565.64648,42095.59725,42513.41797,269631
2021-04-21,42513.42099,42617.87802,41051.0447,41207.72656,630391
2021-04-22,41468.86116,41886.68554,41259.95081,41834.45703,316171
2021-04-23,41834.45896,41938.91231,41259.95271,41677.77344,355291
2021-04-26,41730.00215,41938.91252,41416.63477,41468.86328,225043
2021-04-27,41468.86189,41468.86189,40372.07792,40580.98828,431654
2021-04-28,40580.9871,41416.63217,39693.11719,39693.11719,380731
2021-04-29,39902.02949,40424.30723,39223.0699,39640.89063,187650
2021-04-30,39693.12046,40685.44746,39588.66344,40319.85156,179145
2021-05-03,40476.53211,40528.76061,38857.47053,39118.60938,290671
2021-05-04,39066.38498,39066.38498,37812.91912,38909.70313,352530
2021-05-06,38700.79123,41259.95135,38439.64869,40894.35547,487023
2021-05-07,41364.4078,42408.967,40842.13003,42043.37109,501060
2021-05-10,42565.64668,42826.78555,41938.91193,42304.50781,382435
2021-05-11,42147.82595,42774.55703,41468.86268,42200.05078,760182
2021-05-12,42826.78339,43610.19995,41416.6321,42565.64453,1082132
2021-05-13,41730.00211,44915.89709,41468.86323,44132.48047,1727713
2021-05-14,44602.52506,45699.30894,43557.96967,45177.03125,967156
2021-05-17,45647.08699,46012.68289,44080.25369,44289.16406,633865
2021-05-18,44706.98157,46691.6353,44393.61422,46012.67578,1012230
2021-05-20,45647.085,45647.085,43975.79842,44445.84766,481375
2021-05-21,44915.89078,45542.62545,43871.33543,44602.52344,442092
2021-05-24,47005.00097,47318.3683,44811.43697,45438.16797,1460006
2021-05-25,45855.99808,51496.59611,45438.17369,51131.00391,5325014
2021-05-26,51392.13864,51966.64483,49825.30557,51235.45313,1634208
2021-05-27,51235.45842,51601.05432,49303.03298,49355.25781,896629
2021-05-28,49668.62521,50608.72735,49198.57597,49459.71484,650861
2021-05-31,49511.94177,50295.35836,48258.47596,48885.20703,639197
2021-06-01,48624.06877,51026.54708,48206.24805,50817.63672,972694
2021-06-02,50817.63551,50817.63551,49407.4842,49720.85156,645790
2021-06-03,49773.08065,49877.534,48415.15783,48989.66406,433034
2021-06-04,48728.52342,49250.80113,47945.10685,48624.06641,428435
2021-06-07,49094.11683,50243.12928,48624.06761,49720.85156,609271
2021-06-08,50138.6729,53585.71031,49929.76254,51653.28125,1893772
2021-06-09,51862.18908,53063.43,50765.40517,52332.23828,670548
2021-06-10,52750.06356,52958.97391,50922.09157,50974.31641,659935
2021-06-11,50765.40997,51601.05511,50295.36073,51183.23438,377438
2021-06-14,51287.68436,51862.19058,50138.67191,50347.58594,328913
2021-06-15,50399.81638,51026.54746,49877.53497,50190.90234,284665
2021-06-16,50034.21681,50922.09037,49825.30646,50086.44531,301373
2021-06-17,49929.76088,50086.44639,48049.56038,48415.15625,723064
2021-06-18,48624.06689,51078.77361,48362.92803,50765.40625,764079
2021-06-21,50243.12788,50660.95225,48676.29476,49041.89063,482431
2021-06-22,49616.39671,50399.817,49250.80449,49564.17188,259842
2021-06-23,49668.6278,49825.31334,48206.25151,48571.84375,431994
2021-06-24,48832.97852,49459.71327,48624.06817,48885.20703,235271
2021-06-25,48989.66249,49094.11582,48362.92776,48519.61328,350568
2021-06-28,49146.34411,50869.86276,48571.8379,48624.06641,564638
2021-06-29,48676.29823,49929.76408,48415.15936,49459.71484,371867
2021-06-30,49564.17008,49616.39491,48624.06797,49094.11719,297465
2021-07-01,48989.66581,49981.9928,48519.61658,49250.80469,354865
2021-07-02,50034.22032,51966.64941,50034.22032,50608.72656,721608
2021-07-05,51078.774,56928.2859,50765.40663,55883.73047,2901295
2021-07-06,55883.73377,57763.9344,55256.99901,56719.37891,1153385
2021-07-07,56406.00745,57659.47322,55779.27272,56928.28516,694101
2021-07-08,56928.28812,57555.02287,53063.43359,53063.43359,1201031
2021-07-09,53272.33968,54734.71576,52645.60497,53585.70703,798763
2021-07-12,54525.80141,55048.07907,53272.33577,53481.24609,502546
2021-07-13,52750.06563,53794.62109,52175.55939,53794.62109,432194
2021-07-14,53272.34413,53481.25449,52332.242,52645.60938,304018
2021-07-15,52958.97266,54107.98506,52750.06231,52958.97266,396688
2021-07-16,53272.34336,54839.17656,52958.97599,53794.62109,472672
2021-07-19,54839.17634,55465.90741,53272.34315,53899.07422,552799
2021-07-20,52854.51876,54525.80896,52750.06542,53899.07422,353302
2021-07-21,54734.71993,54734.71993,52958.97636,53167.88672,449741
2021-07-22,53376.79995,55152.54729,52958.97921,54525.8125,426053
2021-07-23,54630.26996,55361.4581,53899.07814,54107.99219,322682
2021-07-26,54421.35255,54421.35255,53167.88672,53167.88672,271852
2021-07-27,53272.34374,54525.80957,52854.51934,53167.88672,261231
2021-07-28,53063.43,53481.2507,51705.50724,52332.23828,322085
2021-07-29,53063.43279,55048.08669,52958.97577,53899.07422,587572
2021-07-30,54003.53516,54107.99219,53167.89,54107.99219,264287
2021-08-02,54316.89319,57346.10226,53899.06885,56406.00391,939667
