Date,Open,High,Low,Close,Volume
2021-04-14,2585.0,2610.0,2560.0,2590.0,489208
2021-04-15,2585.0,2615.0,2555.0,2565.0,427532
2021-04-16,2565.0,2575.0,2540.0,2560.0,325114
2021-04-19,2570.0,2570.0,2505.0,2525.0,346330
2021-04-20,2520.0,2565.0,2510.0,2550.0,285104
2021-04-21,2555.0,2630.0,2520.0,2560.0,746620
2021-04-22,2565.0,2570.0,2510.0,2525.0,372570
2021-04-23,2520.0,2525.0,2485.0,2500.0,289133
2021-04-26,2500.0,2520.0,2475.0,2490.0,323243
2021-04-27,2510.0,2510.0,2465.0,2475.0,330712
2021-04-28,2475.0,2495.0,2435.0,2435.0,402808
2021-04-29,2450.0,2460.0,2395.0,2420.0,299733
2021-04-30,2440.0,2490.0,2400.0,2465.0,368139
2021-05-03,2500.0,2600.0,2500.0,2570.0,1285378
2021-05-04,2560.0,2580.0,2500.0,2570.0,541973
2021-05-06,2570.0,2640.0,2530.0,2615.0,687049
2021-05-07,2615.0,2630.0,2560.0,2605.0,495467
2021-05-10,2605.0,2620.0,2550.0,2580.0,446653
2021-05-11,2555.0,2665.0,2555.0,2620.0,1053198
2021-05-12,2625.0,2650.0,2505.0,2525.0,602793
2021-05-13,2480.0,2530.0,2440.0,2455.0,462958
2021-05-14,2475.0,2490.0,2450.0,2490.0,211981
2021-05-17,2485.0,2495.0,2425.0,2435.0,319127
2021-05-18,2435.0,2465.0,2425.0,2435.0,203227
2021-05-20,2440.0,2500.0,2405.0,2490.0,303150
2021-05-21,2495.0,2495.0,2435.0,2465.0,313009
2021-05-24,2540.0,2660.0,2460.0,2465.0,2974373
2021-05-25,2480.0,2640.0,2480.0,2595.0,1942091
2021-05-26,2590.0,2635.0,2565.0,2610.0,617590
2021-05-27,2610.0,2685.0,2540.0,2580.0,1097540
2021-05-28,2610.0,2610.0,2560.0,2585.0,332535
2021-05-31,2605.0,2620.0,2570.0,2580.0,370413
2021-06-01,2575.0,2720.0,2560.0,2705.0,1393858
2021-06-02,2705.0,2710.0,2650.0,2690.0,670420
2021-06-03,2690.0,2755.0,2655.0,2675.0,755371
2021-06-04,2655.0,2790.0,2635.0,2775.0,1169206
2021-06-07,2765.0,2830.0,2715.0,2800.0,980290
2021-06-08,2790.0,3095.0,2785.0,2870.0,4293631
2021-06-09,2850.0,2935.0,2825.0,2905.0,994998
2021-06-10,2950.0,3030.0,2860.0,2915.0,1126345
2021-06-11,2900.0,2945.0,2860.0,2935.0,543060
2021-06-14,2915.0,2965.0,2905.0,2935.0,349275
2021-06-15,2950.0,2950.0,2870.0,2915.0,303285
2021-06-16,2910.0,2915.0,2850.0,2860.0,397341
2021-06-17,2855.0,2910.0,2830.0,2900.0,450070
2021-06-18,2900.0,3050.0,2855.0,3035.0,996390
2021-06-21,3030.0,3055.0,2935.0,2950.0,667631
2021-06-22,2990.0,2990.0,2900.0,2950.0,397097
2021-06-23,2880.0,2910.0,2820.0,2845.0,744163
2021-06-24,2845.0,2850.0,2750.0,2810.0,567658
2021-06-25,2810.0,2865.0,2775.0,2805.0,330710
2021-06-28,2810.0,2820.0,2760.0,2775.0,334433
2021-06-29,2775.0,2870.0,2760.0,2840.0,370696
2021-06-30,2855.0,2855.0,2780.0,2800.0,314267
2021-07-01,2800.0,2820.0,2740.0,2795.0,234241
2021-07-02,2770.0,2825.0,2765.0,2800.0,168272
2021-07-05,2815.0,2970.0,2775.0,2910.0,1197082
2021-07-06,2930.0,2950.0,2890.0,2920.0,398441
2021-07-07,2920.0,2930.0,2845.0,2865.0,592692
2021-07-08,2860.0,2860.0,2680.0,2710.0,1160432
2021-07-09,2680.0,2685.0,2585.0,2635.0,826859
2021-07-12,2675.0,2735.0,2655.0,2725.0,294742
2021-07-13,2730.0,2785.0,2725.0,2750.0,279647
2021-07-14,2750.0,2750.0,2705.0,2725.0,262444
2021-07-15,2750.0,2755.0,2720.0,2730.0,176804
2021-07-16,2710.0,2805.0,2700.0,2765.0,257624
2021-07-19,2800.0,2875.0,2775.0,2790.0,564811
2021-07-20,2750.0,2780.0,2655.0,2715.0,403800
2021-07-21,2720.0,2750.0,2660.0,2675.0,238756
2021-07-22,2710.0,2710.0,2640.0,2675.0,171688
2021-07-23,2680.0,2745.0,2660.0,2725.0,230769
2021-07-26,2725.0,2725.0,2620.0,2620.0,286448
2021-07-27,2620.0,2645.0,2585.0,2610.0,262002
2021-07-28,2610.0,2650.0,2510.0,2540.0,457590
2021-07-29,2530.0,2580.0,2530.0,2575.0,160618
2021-07-30,2560.0,2600.0,2490.0,2525.0,582990
2021-08-02,2500.0,2570.0,2485.0,2540.0,327833
2021-08-03,2545.0,2560.0,2490.0,2490.0,197621
2021-08-04,2510.0,2540.0,2490.0,2525.0,104187
2021-08-05,2525.0,2570.0,2515.0,2570.0,132834
2021-08-06,2550.0,2620.0,2545.0,2615.0,311648
2021-08-09,2625.0,2645.0,2580.0,2610.0,279200
2021-08-10,2635.0,2640.0,2555.0,2565.0,270775
2021-08-11,2620.0,2645.0,2585.0,2600.0,401184
2021-08-12,2620.0,2680.0,2605.0,2610.0,477626
2021-08-13,2610.0,2625.0,2510.0,2540.0,404846
