Date,Open,High,Low,Close,Volume
2021-04-14,45874.63281,47374.16797,45263.71094,45874.63281,1268024
2021-04-15,45874.63281,45930.17188,45097.09766,45208.17188,274194
2021-04-16,45374.78906,45541.40234,44597.25,44930.48047,286878
2021-04-19,44763.86719,45041.55859,44375.09766,44819.40625,349118
2021-04-20,44930.48047,45263.71094,44763.86719,45208.17188,269631
2021-04-21,45208.17188,45319.25,43653.10156,43819.71484,630391
2021-04-22,44097.40625,44541.71484,43875.25391,44486.17578,316171
2021-04-23,44486.17578,44597.25,43875.25391,44319.55859,355291
2021-04-26,44375.09766,44597.25,44041.86719,44097.40625,225043
2021-04-27,44097.40625,44097.40625,42931.10156,43153.25391,431654
2021-04-28,43153.25391,44041.86719,42209.10547,42209.10547,380731
2021-04-29,42431.25781,42986.64063,41709.26172,42153.56641,187650
2021-04-30,42209.10547,43264.33203,42098.02734,42875.5625,179145
2021-05-03,43042.17969,43097.71875,41320.49219,41598.18359,290671
2021-05-04,41542.64453,41542.64453,40209.72656,41376.03125,352530
2021-05-06,41153.87891,43875.25391,40876.18359,43486.48438,487023
2021-05-07,43986.32813,45097.09766,43430.94531,44708.32813,501060
2021-05-10,45263.71094,45541.40234,44597.25,44986.01953,382435
2021-05-11,44819.40625,45485.86328,44097.40625,44874.94141,760182
2021-05-12,45541.40234,46374.47656,44041.86719,45263.71094,1082132
2021-05-13,44375.09766,47762.93359,44097.40625,46929.85938,1727713
2021-05-14,47429.70313,48596.00781,46318.9375,48040.625,967156
2021-05-17,48540.46875,48929.23828,46874.32031,47096.47266,633865
2021-05-18,47540.78125,49651.23438,47207.55078,48929.23828,1012230
2021-05-20,48540.46875,48540.46875,46763.24609,47263.08984,481375
2021-05-21,47762.93359,48429.39453,46652.16797,47429.70313,442092
2021-05-24,49984.46484,50317.69531,47651.85938,48318.31641,1460006
2021-05-25,48762.625,54760.75781,48318.31641,54371.99219,5325014
2021-05-26,54649.68359,55260.60547,52983.53516,54483.06641,1634208
