date,N1,N2,N3,N4,N5
2022-06-10,1,13,0,18,1
2022-06-13,4,17,0,22,1
2022-06-14,10,11,0,27,3
2022-06-15,3,8,1,29,4
2022-06-16,2,4,0,28,8
2022-06-17,3,2,0,24,0
2022-06-20,3,7,0,26,3
2022-06-21,5,4,0,26,6
2022-06-22,2,5,0,24,2
2022-06-23,5,11,0,30,3
2022-06-24,3,8,0,28,1
2022-06-27,5,5,0,25,13
2022-06-28,2,6,0,25,4
2022-06-29,1,14,0,21,2
2022-06-30,0,5,0,27,3
2022-07-01,2,3,0,16,3
2022-07-04,1,2,0,23,3
2022-07-05,0,7,0,24,2
2022-07-06,6,17,0,30,6
2022-07-07,6,6,0,29,3
2022-07-08,0,9,0,28,1
2022-07-11,2,7,0,25,1
2022-07-12,11,17,0,26,1
2022-07-13,10,6,0,30,1
2022-07-14,10,12,0,30,2
2022-07-15,8,21,0,24,4
2022-07-18,15,12,0,30,5
2022-07-19,5,5,0,24,0
2022-07-20,15,12,0,27,5
2022-07-21,6,3,0,20,1
2022-07-22,2,9,1,29,2
2022-07-25,4,5,1,22,0
2022-07-26,0,3,0,21,2
2022-07-27,2,17,0,25,2
2022-07-28,1,3,0,30,3
2022-07-29,0,4,0,27,0
2022-08-01,0,4,0,20,4
2022-08-02,2,9,0,13,4
2022-08-03,1,6,1,24,2
2022-08-04,1,1,0,23,6
2022-08-05,5,3,0,18,3
2022-08-08,0,7,17,30,2
2022-08-09,3,8,0,20,2
2022-08-10,2,10,0,22,1
2022-08-11,2,2,1,29,5
2022-08-12,3,4,0,19,0
2022-08-15,0,0,0,17,2
2022-08-16,0,8,0,23,4
2022-08-17,1,5,0,17,7
2022-08-18,0,15,0,25,3
2022-08-19,3,12,0,28,1
2022-08-22,6,14,0,27,9
2022-08-23,4,22,0,27,3
2022-08-24,1,17,0,22,2
2022-08-25,3,16,0,30,2
2022-08-26,0,10,0,30,1
2022-08-29,3,17,0,21,2
2022-08-30,2,16,0,22,1
2022-08-31,0,13,0,21,2
2022-09-01,9,9,0,18,11
2022-09-02,4,9,0,18,9
2022-09-05,3,11,0,23,0
2022-09-06,1,18,0,14,3
2022-09-07,3,18,0,17,8
2022-09-08,2,18,0,22,0
2022-09-09,0,3,1,19,0
2022-09-12,2,4,0,20,6
2022-09-13,2,7,0,21,12
2022-09-14,1,15,0,27,2
2022-09-15,2,7,0,27,3
2022-09-16,0,15,0,23,5
2022-09-19,3,13,0,22,0
2022-09-20,1,7,0,27,0
2022-09-21,1,14,0,29,3
2022-09-22,6,15,0,30,2
2022-09-23,9,10,0,26,2
2022-09-26,4,22,0,23,2
2022-09-27,1,21,0,21,0
2022-09-28,2,15,0,20,5
2022-09-29,2,10,0,21,2
2022-09-30,0,7,0,24,7
