date,N1,N2,N3,N4,N5
2026-02-16,45,13,10,51,33
2026-02-17,43,29,2,64,31
2026-02-18,29,21,6,69,39
2026-02-19,79,38,15,70,50
2026-02-20,75,31,8,90,43
2026-02-23,65,19,14,63,53
2026-02-24,68,26,6,66,48
2026-02-25,48,24,5,68,49
2026-02-26,52,28,3,74,53
2026-02-27,63,29,2,72,51
2026-03-02,67,32,20,57,45
2026-03-03,66,61,21,64,42
2026-03-04,69,51,15,67,37
2026-03-05,59,33,17,77,39
2026-03-06,70,43,34,80,66
2026-03-09,69,51,12,61,49
2026-03-10,67,28,20,62,69
2026-03-11,59,27,31,57,60
2026-03-12,76,39,20,63,56
2026-03-13,66,52,21,63,46
2026-03-16,61,31,24,74,51
2026-03-17,77,30,19,63,58
2026-03-18,71,35,14,60,48
2026-03-19,68,49,17,59,49
2026-03-20,72,31,19,64,39
2026-03-23,64,37,14,63,60
2026-03-24,69,23,14,59,49
2026-03-25,65,27,33,62,47
2026-03-26,76,32,45,68,50
2026-03-27,70,32,22,55,44
2026-03-30,67,28,28,57,43
2026-03-31,64,36,17,55,44
2026-04-01,62,30,12,63,53
2026-04-02,57,41,10,71,50
2026-04-03,71,35,21,60,39
2026-04-06,75,29,29,56,40
2026-04-07,71,29,25,59,41
2026-04-08,71,21,50,71,49
2026-04-09,59,29,48,67,38
2026-04-10,66,27,38,64,45
2026-04-13,72,40,33,63,51
2026-04-14,63,25,26,62,50
2026-04-15,68,29,25,70,36
