날짜,긍정,부정,중립
2026-06-10,0,0,2
2026-06-09,3,2,11
2026-06-08,2,8,15
2026-06-07,1,0,0
2026-06-05,0,7,11
2026-06-04,1,0,0
2026-06-03,0,0,5
2026-06-02,1,2,10
2026-06-01,2,0,4
2026-05-29,1,1,8
2026-05-28,2,5,5
2026-05-27,1,0,11
2026-05-26,7,0,6
2026-05-23,1,0,1
2026-05-22,5,0,8
2026-05-21,2,1,8
2026-05-20,6,6,16
2026-05-19,2,6,6
2026-05-18,0,0,7
2026-05-15,4,1,4
2026-05-14,0,1,8
2026-05-13,0,0,1
2026-05-12,6,1,7
2026-05-11,2,0,5
2026-05-09,1,0,0
2026-05-08,1,0,2
2026-05-07,4,1,9
2026-05-06,2,0,11
2026-05-05,0,1,1
2026-05-04,4,0,2
2026-05-01,1,0,2
2026-04-30,1,0,9
2026-04-29,1,0,11
2026-04-28,1,1,6
2026-04-27,6,0,2
2026-04-26,0,1,0
2026-04-25,1,0,0
2026-04-24,1,1,1
2026-04-23,10,0,5
2026-04-22,5,2,12
2026-04-21,3,0,2
2026-04-20,1,0,6
2026-04-19,0,0,1
2026-04-18,1,1,0
2026-04-17,0,2,8
2026-04-16,5,1,10
2026-04-15,3,0,3
2026-04-14,10,1,9
2026-04-13,0,7,5
2026-04-12,0,0,1
