Company,Experiment,N_features,RMSE,vs_Naive_%,Features
samsung_electronics,Top-5,5,58603.71458589774,-954.0,"MA_3, MA_5, ma_7, OBV, Close_MA5_ratio"
samsung_electronics,Top-10,10,59265.8206788014,-965.91,"MA_3, MA_5, ma_7, OBV, Close_MA5_ratio..."
samsung_electronics,Top-15,15,59404.22843726073,-968.4,"MA_3, MA_5, ma_7, OBV, Close_MA5_ratio..."
samsung_electronics,Top-20,20,59256.73401655426,-965.75,"MA_3, MA_5, ma_7, OBV, Close_MA5_ratio..."
samsung_electronics,Top-25,25,59518.437348023166,-970.45,"MA_3, MA_5, ma_7, OBV, Close_MA5_ratio..."
samsung_electronics,Top-30,30,59456.78235947434,-969.34,"MA_3, MA_5, ma_7, OBV, Close_MA5_ratio..."
samsung_electronics,Top-41,41,59486.17617161949,-969.87,"MA_3, MA_5, ma_7, OBV, Close_MA5_ratio..."
samsung_electronics,No-MACD (전체-MACD),38,59244.52661154427,-965.53,MACD 3개 제거
sk_hynix,Top-5,5,456644.7230585356,-1258.27,"MA_3, BB_upper, ma_21, MA_5, ma_14"
sk_hynix,Top-10,10,458136.7231461318,-1262.7,"MA_3, BB_upper, ma_21, MA_5, ma_14..."
sk_hynix,Top-15,15,456848.6708538157,-1258.87,"MA_3, BB_upper, ma_21, MA_5, ma_14..."
sk_hynix,Top-20,20,456410.85424258123,-1257.57,"MA_3, BB_upper, ma_21, MA_5, ma_14..."
sk_hynix,Top-25,25,456496.9946979832,-1257.83,"MA_3, BB_upper, ma_21, MA_5, ma_14..."
sk_hynix,Top-30,30,455735.2381546915,-1255.56,"MA_3, BB_upper, ma_21, MA_5, ma_14..."
sk_hynix,Top-41,41,455962.2197303371,-1256.24,"MA_3, BB_upper, ma_21, MA_5, ma_14..."
sk_hynix,No-MACD (전체-MACD),38,456256.65929266263,-1257.11,MACD 3개 제거
hanwha_aerospace,Top-5,5,740931.9390439681,-1634.18,"ma_14, ma_21, MA_3, MA_5, MA_20"
hanwha_aerospace,Top-10,10,739407.7398714583,-1630.62,"ma_14, ma_21, MA_3, MA_5, MA_20..."
hanwha_aerospace,Top-15,15,738928.1208966208,-1629.49,"ma_14, ma_21, MA_3, MA_5, MA_20..."
hanwha_aerospace,Top-20,20,737459.5564453172,-1626.06,"ma_14, ma_21, MA_3, MA_5, MA_20..."
hanwha_aerospace,Top-25,25,738358.8510802699,-1628.16,"ma_14, ma_21, MA_3, MA_5, MA_20..."
hanwha_aerospace,Top-30,30,738163.9812645683,-1627.7,"ma_14, ma_21, MA_3, MA_5, MA_20..."
hanwha_aerospace,Top-41,41,738822.4326202192,-1629.25,"ma_14, ma_21, MA_3, MA_5, MA_20..."
hanwha_aerospace,No-MACD (전체-MACD),38,738928.3681491859,-1629.49,MACD 3개 제거
lig_nex1,Top-5,5,304821.3459218513,-886.75,"MA_3, OBV, MA_5, ma_7, BB_upper"
lig_nex1,Top-10,10,306186.8891998364,-891.17,"MA_3, OBV, MA_5, ma_7, BB_upper..."
lig_nex1,Top-15,15,311816.28282435035,-909.39,"MA_3, OBV, MA_5, ma_7, BB_upper..."
lig_nex1,Top-20,20,312288.5837527933,-910.92,"MA_3, OBV, MA_5, ma_7, BB_upper..."
lig_nex1,Top-25,25,312003.9600094003,-910.0,"MA_3, OBV, MA_5, ma_7, BB_upper..."
lig_nex1,Top-30,30,313703.8607821642,-915.5,"MA_3, OBV, MA_5, ma_7, BB_upper..."
lig_nex1,Top-41,41,313258.3244775208,-914.06,"MA_3, OBV, MA_5, ma_7, BB_upper..."
lig_nex1,No-MACD (전체-MACD),38,313607.38453281,-915.19,MACD 3개 제거
snt_dynamics,Top-5,5,28379.721075613284,-1305.2,"OBV, BB_upper, MA_3, ma_14, MA_20"
snt_dynamics,Top-10,10,28375.38735184629,-1304.99,"OBV, BB_upper, MA_3, ma_14, MA_20..."
snt_dynamics,Top-15,15,28452.900411701165,-1308.83,"OBV, BB_upper, MA_3, ma_14, MA_20..."
snt_dynamics,Top-20,20,28544.54914357458,-1313.36,"OBV, BB_upper, MA_3, ma_14, MA_20..."
snt_dynamics,Top-25,25,28594.570895248522,-1315.84,"OBV, BB_upper, MA_3, ma_14, MA_20..."
snt_dynamics,Top-30,30,28589.619099525193,-1315.6,"OBV, BB_upper, MA_3, ma_14, MA_20..."
snt_dynamics,Top-41,41,28564.132044775466,-1314.33,"OBV, BB_upper, MA_3, ma_14, MA_20..."
snt_dynamics,No-MACD (전체-MACD),38,28326.86717764973,-1302.59,MACD 3개 제거
