Model,rmse,mae,mape,mbe,r2,direction_accuracy,Company
Benchmark,5560.113338340823,3469.27374301676,2.5120459146624325,-803.9106145251396,0.9855882245452797,0.398876404494382,samsung_electronics
ARIMA,78629.14313941103,63540.78212290503,44.68274776887719,-63540.78212290503,-1.8821546741966473,0.398876404494382,samsung_electronics
Existing RF,61022.05849159528,43302.047486033516,27.29137731681892,-43095.12011173184,-0.7358968128910448,0.4157303370786517,samsung_electronics
Extended RF,59610.7776999162,41733.68156424581,26.031637511696438,-41451.34636871509,-0.6565317860838515,0.4550561797752809,samsung_electronics
Extended ANN,8708.217594129845,5905.971019553072,4.736917957810223,4098.704696229051,0.9646484270140404,0.5449438202247191,samsung_electronics
Benchmark,33619.66869118474,22430.167597765365,3.352471363663617,-4843.575418994414,0.9831755691172052,0.4157303370786517,sk_hynix
ARIMA,484547.8483271139,409396.64804469276,59.708163128032545,-409396.64804469276,-2.49483649721596,0.4157303370786517,sk_hynix
Existing RF,461370.73078285856,381012.5586592179,53.75975136094505,-381012.5586592179,-2.168499207221246,0.4157303370786517,sk_hynix
Extended RF,455622.82727646653,377019.24301675975,53.5374749833892,-377019.24301675975,-2.090042644509081,0.4157303370786517,sk_hynix
Extended ANN,70323.6476245005,54651.977740921786,8.68209005751501,-50413.95190293296,0.9263866974856305,0.43258426966292135,sk_hynix
Benchmark,5585.991904358219,3223.8888888888887,3.8118157482506563,-520.0,0.9686420158135185,0.4748603351955307,wonik_ips
ARIMA,54148.58890641155,44073.61111111111,51.95951135824484,-44011.38888888889,-1.946604311290764,0.46368715083798884,wonik_ips
Existing RF,38648.27784660441,27277.06388888889,28.50934595849467,-27039.069444444445,-0.5010937828398214,0.45251396648044695,wonik_ips
Extended RF,39036.926621602994,27461.6,28.451651646811648,-27274.702777777777,-0.5314357091431969,0.4581005586592179,wonik_ips
Extended ANN,10610.670988025706,7875.350520833334,10.572284340505615,-5347.437348090278,0.8868555568279692,0.5139664804469274,wonik_ips
Benchmark,87.39438069909173,45.111111111111114,2.542355738284994,4.444444444444445,0.9246890437568269,0.6703910614525139,ia
ARIMA,561.1475661099546,519.5438159445176,32.86965927562677,473.29761945021016,-2.1048835096616183,0.3687150837988827,ia
Existing RF,654.791653420299,585.5588888888889,37.681634329202026,573.865,-3.227634305269028,0.3743016759776536,ia
Extended RF,583.6035371342051,522.3138888888889,33.60053739615134,507.34666666666664,-2.358357880424958,0.37988826815642457,ia
Extended ANN,714.0887296829745,584.5254991319445,35.9428655086871,557.6394843207465,-4.02800268720338,0.36312849162011174,ia
Benchmark,42725.13896993198,30926.136363636364,2.793906340888954,-3403.409090909091,0.9557202462820241,0.52,hanwha_aerospace
ARIMA,708732.103648385,683460.3161163367,61.96455364463691,-683460.3161163367,-11.184352077469006,0.52,hanwha_aerospace
Existing RF,738113.0827078281,709730.78125,64.21775284877708,-709730.78125,-12.215513260410797,0.52,hanwha_aerospace
Extended RF,739165.4171135962,710912.8155442115,64.33631586538591,-710912.8155442115,-12.25322307313767,0.52,hanwha_aerospace
Extended ANN,102960.74644348408,87951.98117897728,8.19519760604094,-81761.60688920454,0.7428529220900795,0.5314285714285715,hanwha_aerospace
Benchmark,30891.592752613065,17854.748603351956,3.179097791644672,-1709.4972067039107,0.9397808960229471,0.5112359550561798,lig_nex1
ARIMA,293803.9546129712,265468.53141252085,47.6435599214918,-265468.53141252085,-4.4471453212588825,0.5112359550561798,lig_nex1
