Model,rmse,mae,mape,mbe,r2,direction_accuracy,Company
Benchmark,2631.611305221164,1333.0138445154419,1.5115842689209453,-156.7625133120341,0.9929025962818451,0.5085287846481876,samsung_electronics
ARIMA,32594.946507183853,16907.880724174654,16.983418231287803,-9309.584664536742,-0.08882119965910218,0.488272921108742,samsung_electronics
Existing RF,2752.998732314403,1464.8505412897346,1.720802025358809,408.05045329870376,0.9922327363737012,0.5074626865671642,samsung_electronics
Extended RF,2716.6765042621914,1530.6335880571883,1.8336412008541236,600.5240949429187,0.9924363421263963,0.488272921108742,samsung_electronics
Extended ANN,6081.530808227551,4401.938513016548,6.490468050560164,-3658.748109465717,0.9620962791305032,0.5063965884861408,samsung_electronics
Sentiment Only (LR),2637.440599078434,1337.7113638319947,1.5159365239597886,-213.54783003252095,0.9928711184762828,0.5085287846481876,samsung_electronics
Hybrid RF+NSI,2700.0860996717347,1492.9881201866024,1.7751318289781155,540.2803635803042,0.9925284406785067,0.488272921108742,samsung_electronics
Benchmark,15246.871918573477,6776.464323748669,2.2555664028696305,-1099.5740149094781,0.9951120083834666,0.5074626865671642,sk_hynix
ARIMA,250162.70624398466,133536.10223642172,38.432556394906214,-122566.56017039403,-0.3158733191440273,0.4744136460554371,sk_hynix
Existing RF,15484.396442280111,7412.3835097507545,2.7744867625789618,-1877.4558160240058,0.9949585262281262,0.48507462686567165,sk_hynix
Extended RF,16410.597863090992,7680.281262312739,2.731571007289294,-2791.855993810791,0.9943373756122714,0.4680170575692964,sk_hynix
Extended ANN,24680.640806781008,9177.993108327397,2.717413507641567,4301.071069276117,0.9871919854775286,0.4946695095948827,sk_hynix
Sentiment Only (LR),15272.593826236453,6790.436698978406,2.2576763002153415,-1252.087906167237,0.9950955021094655,0.5074626865671642,sk_hynix
Hybrid RF+NSI,15844.235849744824,7228.885964625512,2.4967877437630284,-2082.6635216372397,0.9947214876099919,0.4690831556503198,sk_hynix
Benchmark,2567.8129744548155,1114.3769968051117,2.378340004088046,-90.41533546325878,0.9866480779610031,0.5223880597014925,wonik_ips
ARIMA,22247.821266771512,12994.19595314164,29.981984612990413,-1062.6730564430245,-0.0022867376846769094,0.48081023454157784,wonik_ips
Existing RF,2554.3377221873507,1193.8825277654225,2.6677326211825796,95.53455181842276,0.9867878454831371,0.4989339019189765,wonik_ips
Extended RF,2609.296966769407,1165.3318262541677,2.5346115248475036,-123.23090864985855,0.9862131824319066,0.5159914712153518,wonik_ips
Extended ANN,6703.335827401836,4626.239798345759,12.515638350174157,820.8186059968032,0.9090088895870287,0.47121535181236673,wonik_ips
Sentiment Only (LR),2570.0830677870554,1115.0123200555151,2.3781768750335273,-134.46514863563536,0.9866244598023375,0.5223880597014925,wonik_ips
Hybrid RF+NSI,2598.6443177519363,1161.5253212701518,2.526087667968389,-100.89427104726559,0.9863255240584354,0.5074626865671642,wonik_ips
Benchmark,1204.2434732719119,835.2502662406815,2.350236543074605,-19.488817891373802,0.9687791460058842,0.535181236673774,dongjin_semichem
ARIMA,7116.092511375743,5778.966986155485,18.14413583607965,2046.6986155484558,-0.09018285238430934,0.5149253731343284,dongjin_semichem
Existing RF,1269.1743665705485,917.3395636769194,2.629142192491907,-45.80907629271812,0.9653216232866231,0.5149253731343284,dongjin_semichem
Extended RF,1400.2735424908637,979.2409359770011,2.7270698654383927,-288.2536659897981,0.9577874155920352,0.5202558635394456,dongjin_semichem
Extended ANN,1950.957414839336,1342.8937018933261,4.409296939557338,773.6298744734357,0.9180570196868871,0.4690831556503198,dongjin_semichem
Sentiment Only (LR),1205.3866138582591,840.353007307176,2.3666760849107282,37.780526296768755,0.9687198444350612,0.464818763326226,dongjin_semichem
Hybrid RF+NSI,1438.803337998072,1021.0919385260257,2.84189135635009,-339.51313340166655,0.9554324203554649,0.5149253731343284,dongjin_semichem
Benchmark,22659.18112786806,11913.5539495114,2.586741968939757,-1594.436329397394,0.9967705236369033,0.5043478260869565,hanwha_aerospace
ARIMA,540067.1106016795,364532.4025515744,67.54675651064484,-364262.8517745657,-0.8345905345376166,0.5054347826086957,hanwha_aerospace
Existing RF,26951.313150900565,14934.252826833032,3.4013985564991653,-11031.021269365065,0.995431185256185,0.5043478260869565,hanwha_aerospace
Extended RF,28019.566365583014,15643.658558321373,3.550163433395896,-12305.716252419748,0.9950618246432352,0.5043478260869565,hanwha_aerospace
Extended ANN,627638.068776724,273551.628238095,29.87334864132551,253751.20195514322,-1.477777147259551,0.5054347826086957,hanwha_aerospace
Sentiment Only (LR),22606.817705047062,11946.925175663137,2.5949232733126135,-890.3904586451072,0.996785432475851,0.4967391304347826,hanwha_aerospace
Hybrid RF+NSI,27260.230557817493,15025.330598633489,3.34812296595011,-11221.332850944109,0.9953258490086347,0.5043478260869565,hanwha_aerospace
Benchmark,15285.344584334161,6928.251599147122,2.5070029140384102,-905.863539445629,0.9930905497194367,0.4887940234791889,lig_nex1
