Model,rmse,mae,mape,mbe,r2,direction_accuracy,Company
Benchmark,5560.113338340823,3469.27374301676,2.5120459146624325,-803.9106145251396,0.9855882245452797,0.398876404494382,samsung_electronics
ARIMA,78629.14313941103,63540.78212290503,44.68274776887719,-63540.78212290503,-1.8821546741966473,0.398876404494382,samsung_electronics
Existing RF,7668.168535442212,5360.180816222091,3.813898339106002,-4409.962369408517,0.9725884560959224,0.4157303370786517,samsung_electronics
Extended RF,7314.8867285587,5081.358314014345,3.6209391181933044,-4097.129017151635,0.9750560395665708,0.42696629213483145,samsung_electronics
Extended ANN,5580.682804779732,3495.6921161886034,2.53451217705031,-935.6328687188345,0.9854813954742039,0.398876404494382,samsung_electronics
Sentiment Only (LR),5565.948675026498,3477.4240122035008,2.519091725811961,-843.8189175045036,0.9855579583664899,0.398876404494382,samsung_electronics
Hybrid RF+NSI,6619.5548916219905,4529.586374028481,3.2541916389800356,-3197.199621931169,0.9795728501999492,0.43258426966292135,samsung_electronics
Benchmark,33619.66869118474,22430.167597765365,3.352471363663617,-4843.575418994414,0.9831755691172052,0.4157303370786517,sk_hynix
ARIMA,484547.8483271139,409396.64804469276,59.708163128032545,-409396.64804469276,-2.49483649721596,0.4157303370786517,sk_hynix
Existing RF,39887.25504871907,28621.459748541998,4.350354520466167,-20773.115434003397,0.9763178120211857,0.42134831460674155,sk_hynix
Extended RF,38239.98648464728,27021.5016306388,4.0790626402268435,-17638.93078745083,0.9782334808168033,0.42134831460674155,sk_hynix
Extended ANN,38088.446967891934,24827.032125528964,3.5869265004245214,-11337.665989745263,0.9784056541038189,0.5561797752808989,sk_hynix
Sentiment Only (LR),33560.010868892045,22367.52332692635,3.3420198893984248,-4394.149600059366,0.983235225765249,0.5842696629213483,sk_hynix
Hybrid RF+NSI,37030.615011429785,25899.21645410644,3.9071539201431666,-15482.14157388265,0.979588478742746,0.4101123595505618,sk_hynix
Benchmark,5585.991904358219,3223.8888888888887,3.8118157482506563,-520.0,0.9686420158135185,0.4748603351955307,wonik_ips
ARIMA,54148.58890641155,44073.61111111111,51.95951135824484,-44011.38888888889,-1.946604311290764,0.46368715083798884,wonik_ips
Existing RF,5527.610897975833,3298.256543188167,4.005278101116993,-590.5449709976747,0.9692940554267876,0.4860335195530726,wonik_ips
Extended RF,5723.905056502371,3404.444271120063,4.139623484643465,-1290.475359574981,0.9670745002339941,0.45251396648044695,wonik_ips
Extended ANN,5818.827247960343,3342.3223700291583,3.9291199473332394,-1626.301628930701,0.9659734074594332,0.4748603351955307,wonik_ips
Sentiment Only (LR),5587.250964978211,3224.8986892123094,3.8132611698465517,-540.680701133777,0.968627878287655,0.4748603351955307,wonik_ips
Hybrid RF+NSI,5670.751973754771,3375.0013027865257,4.090431097292195,-1024.1742303231595,0.9676831637189521,0.441340782122905,wonik_ips
Benchmark,87.39438069909173,45.111111111111114,2.542355738284994,4.444444444444445,0.9246890437568269,0.6703910614525139,ia
ARIMA,561.1475661099546,519.5438159445176,32.86965927562677,473.29761945021016,-2.1048835096616183,0.3687150837988827,ia
Existing RF,207.0591172900819,192.52074772801723,11.509092317719233,183.03444742517536,0.5772536562882774,0.36312849162011174,ia
Extended RF,173.1882055253859,157.54432583966502,9.440397044419138,144.31613722100988,0.7042479468091121,0.3687150837988827,ia
Extended ANN,90.93634460712931,45.51220236221949,2.598835781542074,-0.40276777744293213,0.918460859519365,0.6424581005586593,ia
