Company,Model,RMSE,MAE,MAPE,Acc
samsung_electronics,Benchmark,3998.4997186444816,2149.4444444444443,2.012648144349155,0.5
samsung_electronics,ARIMA,49538.5138047082,30608.980624420485,25.34991964645934,0.42777777777777776
samsung_electronics,Existing RF,4884.959156786003,2792.1376032911126,2.5103329539465644,0.45
samsung_electronics,Existing ANN,4031.8421001691327,2205.3323275430334,2.0751349154785506,0.43333333333333335
samsung_electronics,Extended RF,5024.446061356109,2874.0126184740707,2.5629067477230785,0.4444444444444444
samsung_electronics,Extended ANN,4013.9487809311004,2169.8016507178545,2.035898617574056,0.45555555555555555
samsung_electronics,Sentiment Only (LR),4008.4874377702326,2156.4448781796236,2.01782466261126,0.4861111111111111
sk_hynix,Benchmark,24185.538624383207,13632.869080779945,2.8694731078463493,0.5
sk_hynix,ARIMA,365609.1600380974,236680.30441889263,39.807020676893266,0.47075208913649025
sk_hynix,Existing RF,27348.471495145295,16224.966211511792,3.4164135563682585,0.4596100278551532
sk_hynix,Existing ANN,35044.048455831144,18361.13850416247,3.486111417126024,0.45403899721448465
sk_hynix,Extended RF,27509.832158410067,16081.30918806968,3.2884804135553862,0.4818941504178273
sk_hynix,Extended ANN,44127.36173456609,20676.058851045487,3.6619733832431556,0.5125348189415042
sk_hynix,Sentiment Only (LR),24144.831815576636,13596.897705025016,2.8630847985708905,0.532033426183844
wonik_ips,Benchmark,3979.0641348046765,1870.6944444444443,2.969490346624518,0.5
wonik_ips,ARIMA,35291.32025030876,23362.8476181336,39.402294467820646,0.4666666666666667
wonik_ips,Existing RF,4106.498308127586,2055.092821293323,3.412277854058374,0.5083333333333333
wonik_ips,Existing ANN,4283.866139474309,2029.6276718129714,3.196521999525758,0.49444444444444446
wonik_ips,Extended RF,4013.1279164429816,2006.927271553361,3.444186227498875,0.4861111111111111
wonik_ips,Extended ANN,5053.032620864418,2503.1452578968474,4.052630987094176,0.475
wonik_ips,Sentiment Only (LR),3979.0722082608972,1871.3163220131776,2.97000088690872,0.49444444444444446
dongjin_semichem,Benchmark,1424.1200987120276,946.8055555555555,2.6777117465054783,0.5
dongjin_semichem,ARIMA,8074.916828237642,6709.481908912859,20.348567614991456,0.5277777777777778
dongjin_semichem,Existing RF,1450.273455269844,1056.4654281498154,3.1470333307034166,0.525
dongjin_semichem,Existing ANN,1518.298248790242,1077.608940154314,3.222375949887603,0.49166666666666664
dongjin_semichem,Extended RF,1528.2888018902224,1076.1976048383688,3.1534179303032337,0.5277777777777778
dongjin_semichem,Extended ANN,1480.1207606031219,1035.7763932396967,3.0821033490151093,0.5333333333333333
dongjin_semichem,Sentiment Only (LR),1423.807988838019,948.6627116599848,2.6829751796158536,0.48333333333333334
hanwha_aerospace,Benchmark,35619.79104560745,24844.74937937853,2.9615738333287895,0.5
hanwha_aerospace,ARIMA,591907.3515622376,502946.4045924022,51.84582666835369,0.519774011299435
hanwha_aerospace,Existing RF,35589.42842368647,25073.20563873162,2.9987369320330046,0.5734463276836158
hanwha_aerospace,Existing ANN,51448.370047810604,32243.180418944023,3.5702997684160973,0.5225988700564972
hanwha_aerospace,Extended RF,37225.16870301255,25580.43868736778,3.0326478577032203,0.5338983050847458
hanwha_aerospace,Extended ANN,49414.945841876506,26550.62667199981,3.0965090991458775,0.4887005649717514
hanwha_aerospace,Sentiment Only (LR),35578.650097902566,25163.623538532975,3.009868443094293,0.4858757062146893
lig_nex1,Benchmark,24028.83799844586,13823.333333333334,3.1149655307180644,0.5
lig_nex1,ARIMA,256310.3186575423,200310.8611305805,39.65501261420762,0.49166666666666664
lig_nex1,Existing RF,24973.808842658473,15415.732885023377,3.497800472448948,0.49722222222222223
lig_nex1,Existing ANN,29017.90154347038,15867.397022048632,3.5114770412269856,0.5
lig_nex1,Extended RF,24303.36766270152,14471.665684148236,3.267816964552593,0.4861111111111111
lig_nex1,Extended ANN,56695.47353252929,25249.87224628528,4.9204901299374795,0.49722222222222223
lig_nex1,Sentiment Only (LR),23950.73957512948,13862.982411598736,3.1381215249384615,0.5027777777777778
snt_dynamics,Benchmark,1692.6381446986502,1237.8333333333333,2.8885846944313185,0.5
snt_dynamics,ARIMA,23428.994321739512,19637.184768579136,40.87997585061899,0.5055555555555555
snt_dynamics,Existing RF,1815.123324414188,1343.0303052024653,3.0984851891578944,0.5055555555555555
snt_dynamics,Existing ANN,1701.6246326092257,1247.5032067795594,2.913567352521951,0.4888888888888889
snt_dynamics,Extended RF,1791.0650334980955,1335.9070707344044,3.1847088488791067,0.4638888888888889
snt_dynamics,Extended ANN,1684.1610609405486,1235.9924225707848,2.8926173526413956,0.5027777777777778
snt_dynamics,Sentiment Only (LR),1693.9257838248145,1242.483471728386,2.9052884312018583,0.4861111111111111
firstec,Benchmark,282.20246490378423,137.56267409470752,2.7267881728500813,0.5
firstec,ARIMA,1678.4448342881665,1024.776146834737,19.203440634128217,0.5598885793871866
firstec,Existing RF,287.67660557788867,147.48555053033348,2.91757678564975,0.5181058495821727
firstec,Existing ANN,319.668404730245,142.13759129674986,2.7429661166900186,0.5515320334261838
firstec,Extended RF,298.9620246590126,148.82882776721743,2.9232269324539293,0.5654596100278552
firstec,Extended ANN,334.1924752514314,149.29898525512982,2.8446217326556864,0.5431754874651811
firstec,Sentiment Only (LR),281.7741399873034,138.02897437779237,2.7377399219114635,0.4596100278551532
