Company,Model,rmse,mae,mape,mbe,r2,direction_accuracy
sk_hynix,Benchmark,24249.027818451937,13680.112044817926,2.870720398706636,-2626.890756302521,0.9921004878428106,0.46348314606741575
sk_hynix,Benchmark + 심리지수 결합모델,24618.158127898103,13915.560605766539,2.901503510788064,-4156.357100423676,0.9918581570262831,0.4747191011235955
sk_hynix,ARIMA,372015.1420939396,243170.9696115356,41.34106574256031,-239672.77235734274,-0.859228820449619,0.47191011235955055
sk_hynix,ARIMA + 심리지수 결합모델,371935.9158263081,243129.4524870987,41.34528716492284,-239661.09743681827,-0.8584370028132235,0.47191011235955055
sk_hynix,Existing RF,28738.823971267884,17239.234450281132,3.582255100438262,-10581.589097231505,0.9889044306326402,0.45224719101123595
sk_hynix,Existing RF + 심리지수 결합모델,28123.68934634043,16808.208959087253,3.5181740456618678,-9733.871904104413,0.9893743332167402,0.4550561797752809
sk_hynix,Extended RF,27539.285203526273,16176.999952021777,3.319266634731114,-8897.270943318808,0.989811343146337,0.46629213483146065
sk_hynix,Extended RF + 심리지수 결합모델,26976.85016953277,15816.046849920085,3.2670190956924743,-8014.007993159345,0.9902232595001872,0.46629213483146065
sk_hynix,Existing ANN,61383.41356291143,27944.472434807893,4.686921888456362,-10361.218874861881,0.9493809860957554,0.4887640449438202
sk_hynix,Existing ANN + 심리지수 결합모델,61932.08795420525,28012.032968053318,4.684694136506859,-12207.950944763717,0.9484720277692716,0.5084269662921348
sk_hynix,Extended ANN,65839.5298823369,32432.138529044238,5.110724526469877,-19834.707793802107,0.9417648698099181,0.47191011235955055
sk_hynix,Extended ANN + 심리지수 결합모델,67119.18764190916,33096.7216500119,5.194060519543747,-21641.673713531418,0.9394791538528431,0.5280898876404494
