Model,rmse,mae,mape,mbe,r2,direction_accuracy,Stock
Benchmark,5560.113338340823,3469.27374301676,2.5120459146624325,-803.9106145251396,0.9855882245452797,0.398876404494382,samsung_electronics
ARIMA,78629.14313941103,63540.78212290503,44.68274776887719,-63540.78212290503,-1.8821546741966473,0.398876404494382,samsung_electronics
Extended RF,7314.8867285587,5081.358314014345,3.6209391181933044,-4097.129017151635,0.9750560395665708,0.42696629213483145,samsung_electronics
Extended ANN,5597.375935014292,3511.3330482937104,2.532695898624861,-1056.5030320230144,0.9853944084714031,0.5056179775280899,samsung_electronics
Benchmark,33619.66869118474,22430.167597765365,3.352471363663617,-4843.575418994414,0.9831755691172052,0.4157303370786517,sk_hynix
ARIMA,484547.8483271139,409396.64804469276,59.708163128032545,-409396.64804469276,-2.49483649721596,0.4157303370786517,sk_hynix
Extended RF,38239.98648464728,27021.5016306388,4.0790626402268435,-17638.93078745083,0.9782334808168033,0.42134831460674155,sk_hynix
Extended ANN,142451.90027944648,94115.73995857932,11.569106861255884,-92015.56545229598,0.6979422258841319,0.47752808988764045,sk_hynix
Benchmark,5585.991904358219,3223.8888888888887,3.8118157482506563,-520.0,0.9686420158135185,0.4748603351955307,wonik_ips
ARIMA,54148.58890641155,44073.61111111111,51.95951135824484,-44011.38888888889,-1.946604311290764,0.46368715083798884,wonik_ips
Extended RF,5723.905056502371,3404.444271120063,4.139623484643465,-1290.475359574981,0.9670745002339941,0.45251396648044695,wonik_ips
Extended ANN,5821.7514361307085,3359.305466943317,3.95769777689321,-1641.0929459002282,0.9659391994802291,0.4748603351955307,wonik_ips
Benchmark,1857.2605274076834,1258.3333333333333,2.926569308517566,-140.55555555555554,0.9412728523652504,0.5251396648044693,dongjin_semichem
ARIMA,15433.956070949534,13396.666666666666,30.514204602255667,-13396.666666666666,-3.0555314154463202,0.5251396648044693,dongjin_semichem
Extended RF,1923.8359706738563,1345.5246416213652,3.1476227423795557,-622.2084842145329,0.9369871196896572,0.5195530726256983,dongjin_semichem
Extended ANN,1905.0159621949756,1284.282628811068,2.973879107937627,-407.2057386404938,0.9382139419201732,0.5251396648044693,dongjin_semichem
Benchmark,42725.13896993198,30926.136363636364,2.793906340888954,-3403.409090909091,0.9557202462820241,0.52,hanwha_aerospace
ARIMA,708732.103648385,683460.3161163367,61.96455364463691,-683460.3161163367,-11.184352077469006,0.52,hanwha_aerospace
Extended RF,43405.34386042185,31076.91026101351,2.7993877369113473,-7557.582091842447,0.9542991128361337,0.5257142857142857,hanwha_aerospace
Extended ANN,62778.45563610597,44859.057973054325,3.8719435967903686,16228.538952767849,0.9043996495757349,0.49142857142857144,hanwha_aerospace
Benchmark,30891.592752613065,17854.748603351956,3.179097791644672,-1709.4972067039107,0.9397808960229471,0.5112359550561798,lig_nex1
ARIMA,293803.9546088031,265468.5314081372,47.64355992064947,-265468.5314081372,-4.447145321104327,0.5112359550561798,lig_nex1
Extended RF,31297.239425269956,18806.629690436566,3.3749615310068504,406.03942187628957,0.938189002532184,0.43258426966292135,lig_nex1
Extended ANN,49923.930916106874,27798.97220341187,4.553827567633119,-7652.599333051862,0.8427208205947322,0.48314606741573035,lig_nex1
Benchmark,2019.617475811534,1540.782122905028,2.837316731940569,-12.849162011173185,0.9301704321122374,0.5337078651685393,snt_dynamics
ARIMA,26332.309184502512,24992.20509314156,45.06541524820835,-24992.20509314156,-10.870773161766653,0.5337078651685393,snt_dynamics
Extended RF,2079.8896674684547,1591.7923932963815,2.92005144096949,-160.17686787195774,0.9259403407646672,0.48314606741573035,snt_dynamics
Extended ANN,2062.062783141158,1635.7092480086746,3.019636369908841,50.82489861456376,0.9272044414593585,0.4606741573033708,snt_dynamics
Benchmark,386.7120477372906,201.9943820224719,3.3235532541116295,-42.2752808988764,0.9468784836036714,0.5819209039548022,firstec
ARIMA,2377.7872159747867,1684.7147038355997,27.918739467084457,-1684.7147038355997,-1.0083575558328444,0.5819209039548022,firstec
Extended RF,403.296980908543,223.38939669804995,3.702105085940257,-32.414021033848485,0.9422243286381824,0.4915254237288136,firstec
Extended ANN,391.22435470453803,203.13901666342542,3.334381365648949,-47.37094469117314,0.945631565903928,0.480225988700565,firstec
